10p Deletion Syndrome (Partial)	MESH:C538288
13q deletion syndrome	MESH:C535484
15q24 Microdeletion	MESH:C579849
16p11.2 Deletion Syndrome	MESH:C579850
17,20-Lyase Deficiency, Isolated	MESH:C567076
17-Hydroxysteroid Dehydrogenase Deficiency	MESH:C537805
18-Hydroxylase deficiency	MESH:C537806
22q11 Deletion Syndrome	MESH:D058165
2,4-Dienoyl-CoA Reductase Deficiency	MESH:C565624
2-AMINOADIPIC 2-OXOADIPIC ACIDURIA	OMIM:204750
2-hydroxyethyl methacrylate sensitization	MESH:C535305
2-Hydroxyglutaricaciduria	MESH:C535306
2-Methylacetoacetyl CoA thiolase deficiency	MESH:C535307
2-Methylbutyryl-CoA Dehydrogenase Deficiency	MESH:C566487
3b-Hydroxysteroid Dehydrogenase Deficiency	MESH:C579862
3C syndrome	MESH:C535313
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	MESH:C538324
3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency	MESH:C567784
3-Hydroxyacyl-CoA Dehydrogenase Deficiency	MESH:C535310
3-Hydroxyisobutyric aciduria	MESH:C535312
3-methylcrotonyl CoA carboxylase 1 deficiency	MESH:C535308
3-methylcrotonyl CoA carboxylase 2 deficiency	MESH:C535309
3-Methylglutaconic Aciduria	MESH:C579867
3-Methylglutaconic Aciduria, Type I	MESH:C562801
3-Methylglutaconic Aciduria Type IV	MESH:C565393
3-Methylglutaconic Aciduria, Type V	MESH:C565706
3-METHYLGLUTACONIC ACIDURIA, TYPE VII	OMIM:616271
3-METHYLGLUTACONIC ACIDURIA, TYPE VIII	OMIM:617248
3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME	OMIM:614739
46, XX Disorders of Sex Development	MESH:D058489
46,XX Gonadal dysgenesis epibulbar dermoid	MESH:C535316
46,Xx Gonadal Dysgenesis, Partial Or Complete, Autosomal	MESH:C567597
46,XX SEX REVERSAL 1	OMIM:400045
46,XX SEX REVERSAL 2	OMIM:278850
46,XX SEX REVERSAL 3	OMIM:300833
46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS	OMIM:611812
46, XX Testicular Disorders of Sex Development	MESH:D058531
46, XY female	MESH:C536769
46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related	MESH:C565537
46,Xy Gonadal Dysgenesis, Complete, Sry-Related	MESH:C567574
46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy	MESH:C567773
46,XY SEX REVERSAL 1	OMIM:400044
46,XY SEX REVERSAL 10	OMIM:616425
46,XY Sex Reversal 4	MESH:C567887
46, XY Sex Reversal 5	MESH:C567766
46,XY SEX REVERSAL 6	OMIM:613762
46,XY SEX REVERSAL 9	OMIM:616067
46,Xy True Hermaphroditism, Sry-Related	MESH:C567575
47, XYY syndrome	MESH:C535317
49,XXXXX syndrome	MESH:C535319
4-hydroxyphenylacetic aciduria	MESH:C535315
5 alpha Fluorouracil toxicity	MESH:C531667
5-HYDROXYTRYPTAMINE OXYGENASE REGULATOR	OMIM:143460
5-Nucleotidase syndrome	MESH:C535321
5-oxoprolinase deficiency	MESH:C535322
6-Phosphogluconolactonase Deficiency	MESH:C566803
6-pyruvoyl-tetrahydropterin synthase deficiency	MESH:C535325
6q24-Related Transient Neonatal Diabetes Mellitus	MESH:C579872
6q+ Syndrome, Partial	MESH:C537810
7p2 monosomy syndrome	MESH:C537818
9q22.3 Microdeletion	MESH:C579873
Aagenaes syndrome	MESH:C535330
Aarskog Syndrome	MESH:C535331
AARSKOG SYNDROME, AUTOSOMAL DOMINANT	OMIM:100050
Aase Smith syndrome	MESH:C535332
Aase Smith syndrome 2	MESH:C538442
abc disease	MESH:C579754
ABCD syndrome	MESH:C535334
Abderhalden-Kaufmann-Lignac syndrome	MESH:C535335
